positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length,percentage_of_personal_pronouns,Percentage_of_complex_words_three_syllables
3,0,0.9999996666667778,0.1304347769376184,22,0.43478260869565216,8.97391304347826,23,23,23,51,0,5.956521739130435,0.0,0.391304347826087
0,0,0.0,0.0,24,0.6,9.840000000000002,25,25,25,57,0,6.8,0.0,0.4
1,0,0.9999990000010001,0.05263157617728546,16,0.21052631578947367,6.484210526315789,19,19,19,30,0,4.7894736842105265,0.0,0.15789473684210525
2,0,0.99999950000025,0.09999999500000024,19,0.15,7.66,20,20,20,27,0,4.05,0.0,0.1
0,0,0.0,0.0,16,0.23529411764705882,6.4941176470588236,17,17,17,26,0,4.764705882352941,0.0,0.17647058823529413
2,0,0.99999950000025,0.07692307396449716,25,0.23076923076923078,10.092307692307692,26,26,26,42,0,4.3076923076923075,0.0,0.11538461538461539
2,0,0.99999950000025,0.09090908677685969,21,0.45454545454545453,8.581818181818182,22,22,22,39,0,5.090909090909091,0.0,0.09090909090909091
1,1,0.0,0.0,9,0.6,3.84,10,10,10,28,0,7.6,0.0,0.6
2,2,0.0,0.0,20,0.19047619047619047,8.076190476190476,21,21,21,36,0,5.238095238095238,0.0,0.09523809523809523
1,4,-0.599999880000024,-0.18749998828125072,15,0.4375,6.175000000000001,16,16,16,37,0,6.3125,0.0,0.4375
3,2,0.199999960000008,0.05263157617728546,18,0.3157894736842105,7.326315789473684,19,19,19,39,0,5.2631578947368425,0.0,0.2631578947368421
1,0,0.9999990000010001,0.041666664930555625,21,0.20833333333333334,8.483333333333333,24,24,24,38,0,4.375,0.0,0.16666666666666666
1,2,-0.33333322222225925,-0.04999999750000012,19,0.15,7.66,20,20,20,32,0,4.7,0.0,0.15
2,1,0.33333322222225925,0.035714284438775556,27,0.21428571428571427,10.885714285714286,28,28,28,45,0,4.535714285714286,0.0,0.21428571428571427
6,0,0.9999998333333611,0.21428570663265334,27,0.4642857142857143,10.985714285714288,28,28,28,62,0,6.071428571428571,0.0,0.4642857142857143
1,0,0.9999990000010001,0.05882352595155729,14,0.35294117647058826,5.741176470588236,17,17,17,28,0,5.0,0.0,0.29411764705882354
2,0,0.99999950000025,0.060606058769513374,30,0.21212121212121213,12.084848484848486,33,33,33,49,0,4.303030303030303,0.0,0.12121212121212122
1,0,0.9999990000010001,0.04347825897920613,22,0.13043478260869565,8.852173913043478,23,23,23,29,0,3.869565217391304,0.0,0.043478260869565216
1,0,0.9999990000010001,0.037037035665294975,26,0.2962962962962963,10.518518518518519,27,27,27,38,0,4.111111111111111,0.0,0.1111111111111111
0,0,0.0,0.0,20,0.19047619047619047,8.076190476190476,21,21,21,29,0,4.428571428571429,0.0,0.14285714285714285
1,0,0.9999990000010001,0.06249999609375024,13,0.25,5.300000000000001,16,16,16,24,0,4.4375,0.0,0.1875
0,0,0.0,0.0,17,0.2777777777777778,6.911111111111111,18,18,18,30,0,4.444444444444445,0.0,0.2222222222222222
1,0,0.9999990000010001,0.11111109876543349,8,0.2222222222222222,3.2888888888888888,9,9,9,14,0,5.111111111111111,0.0,0.1111111111111111
0,0,0.0,0.0,12,0.2,4.88,15,15,15,19,0,3.8666666666666667,0.0,0.13333333333333333
1,0,0.9999990000010001,0.041666664930555625,22,0.25,8.9,24,24,24,34,0,4.291666666666667,0.0,0.16666666666666666
0,0,0.0,0.0,12,0.38461538461538464,4.953846153846154,13,13,13,23,0,5.538461538461538,0.0,0.23076923076923078
0,0,0.0,0.0,10,0.2727272727272727,4.109090909090909,11,11,11,20,0,5.818181818181818,0.0,0.2727272727272727
3,0,0.9999996666667778,0.12499999479166687,23,0.2916666666666667,9.316666666666668,24,24,24,39,2,4.708333333333333,0.08333333333333333,0.20833333333333334
0,0,0.0,0.0,10,0.18181818181818182,4.072727272727273,11,11,11,15,1,4.090909090909091,0.09090909090909091,0.18181818181818182
0,3,-0.9999996666667778,-0.1304347769376184,22,0.30434782608695654,8.921739130434784,23,23,23,40,0,5.391304347826087,0.0,0.17391304347826086
0,0,0.0,0.0,9,0.2,3.6799999999999997,10,10,10,14,1,3.5,0.1,0.2
1,1,0.0,0.0,34,0.22857142857142856,13.691428571428572,35,35,35,59,0,4.885714285714286,0.0,0.17142857142857143
0,1,-0.9999990000010001,-0.09090908264462885,10,0.18181818181818182,4.072727272727273,11,11,11,17,0,4.454545454545454,0.0,0.18181818181818182
1,1,0.0,0.0,14,0.1875,5.675000000000001,16,16,16,20,0,4.375,0.0,0.125
0,0,0.0,0.0,19,0.35,7.740000000000001,20,20,20,36,0,5.35,0.0,0.25
0,0,0.0,0.0,20,0.3333333333333333,8.133333333333333,21,21,21,40,0,5.142857142857143,0.0,0.2857142857142857
0,0,0.0,0.0,11,0.5,4.6000000000000005,12,12,12,27,0,6.25,0.0,0.4166666666666667
0,0,0.0,0.0,28,0.3448275862068966,11.337931034482759,29,29,29,53,0,5.379310344827586,0.0,0.2413793103448276
0,0,0.0,0.0,17,0.2222222222222222,6.888888888888889,18,18,18,34,0,5.333333333333333,0.0,0.16666666666666666
0,0,0.0,0.0,16,0.47058823529411764,6.588235294117647,17,17,17,37,0,6.352941176470588,0.0,0.29411764705882354
0,0,0.0,0.0,11,0.21428571428571427,4.485714285714286,14,14,14,25,0,4.785714285714286,0.0,0.21428571428571427
1,0,0.9999990000010001,0.07692307100591762,12,0.3076923076923077,4.923076923076923,13,13,13,24,0,5.769230769230769,0.0,0.3076923076923077
1,0,0.9999990000010001,0.05263157617728546,18,0.5263157894736842,7.4105263157894745,19,19,19,43,0,6.684210526315789,0.0,0.42105263157894735
1,0,0.9999990000010001,0.041666664930555625,23,0.2916666666666667,9.316666666666668,24,24,24,42,0,5.083333333333333,0.0,0.20833333333333334
4,1,0.599999880000024,0.12499999479166687,23,0.4166666666666667,9.366666666666667,24,24,24,50,0,5.708333333333333,0.0,0.2916666666666667
0,0,0.0,0.0,14,0.2,5.68,15,15,15,23,0,4.333333333333333,0.0,0.13333333333333333
1,1,0.0,0.0,23,0.4166666666666667,9.366666666666667,24,24,24,48,0,6.041666666666667,0.0,0.3333333333333333
1,1,0.0,0.0,27,0.2857142857142857,10.914285714285715,28,28,28,50,0,4.607142857142857,0.0,0.21428571428571427
1,0,0.9999990000010001,0.12499998437500197,7,0.625,3.0500000000000003,8,8,8,23,0,7.875,0.0,0.625
1,0,0.9999990000010001,0.04761904535147403,20,0.3333333333333333,8.133333333333333,21,21,21,36,0,5.190476190476191,0.0,0.2857142857142857
1,0,0.9999990000010001,0.04999999750000012,19,0.35,7.740000000000001,20,20,20,41,0,6.1,0.0,0.3
5,0,0.99999980000004,0.2499999875000006,19,0.3,7.720000000000001,20,20,20,38,0,5.3,0.0,0.25
1,2,-0.33333322222225925,-0.08333332638888948,11,0.4166666666666667,4.566666666666666,12,12,12,23,0,5.666666666666667,0.0,0.25
2,2,0.0,0.0,17,0.3333333333333333,6.933333333333334,18,18,18,38,0,5.666666666666667,0.0,0.2777777777777778
1,1,0.0,0.0,18,0.42105263157894735,7.36842105263158,19,19,19,42,0,6.105263157894737,0.0,0.3684210526315789
0,1,-0.9999990000010001,-0.06249999609375024,15,0.375,6.15,16,16,16,31,0,5.8125,0.0,0.3125
1,0,0.9999990000010001,0.06666666222222252,14,0.4666666666666667,5.786666666666667,15,15,15,35,0,5.733333333333333,0.0,0.4
2,0,0.99999950000025,0.11111110493827195,17,0.4444444444444444,6.977777777777778,18,18,18,36,0,6.277777777777778,0.0,0.3333333333333333
3,0,0.9999996666667778,0.17647057785467188,16,0.5882352941176471,6.63529411764706,17,17,17,39,0,7.352941176470588,0.0,0.4117647058823529
0,0,0.0,0.0,6,0.2857142857142857,2.5142857142857142,7,7,7,13,0,6.0,0.0,0.2857142857142857
3,0,0.9999996666667778,0.11999999520000018,24,0.4,9.76,25,25,25,52,0,5.68,0.0,0.4
3,1,0.49999987500003124,0.06249999804687507,29,0.28125,11.7125,32,32,32,51,0,4.84375,0.0,0.1875
0,0,0.0,0.0,42,0.3829787234042553,16.953191489361704,47,47,47,101,0,6.617021276595745,0.0,0.3191489361702128
0,0,0.0,0.0,24,0.28,9.712000000000002,25,25,25,44,0,5.2,0.0,0.2
1,0,0.9999990000010001,0.020833332899305567,44,0.3333333333333333,17.733333333333334,48,48,48,92,0,5.416666666666667,0.0,0.3125
13,0,0.9999999230769291,0.06467661659364868,197,0.39800995024875624,78.95920398009952,201,201,201,403,3,6.243781094527363,0.014925373134328358,0.31343283582089554
1,0,0.9999990000010001,0.06666666222222252,12,0.26666666666666666,4.906666666666667,15,15,15,32,2,6.866666666666666,0.13333333333333333,0.26666666666666666
1,0,0.9999990000010001,0.06666666222222252,15,0.13333333333333333,6.053333333333334,15,15,15,20,2,4.2,0.13333333333333333,0.06666666666666667
7,2,0.5555554938271674,0.023148148040980795,212,0.49074074074074076,84.9962962962963,216,216,216,473,2,6.412037037037037,0.009259259259259259,0.4351851851851852
3,0,0.9999996666667778,0.2499999791666684,11,0.3333333333333333,4.533333333333334,12,12,12,20,0,5.333333333333333,0.0,0.25
0,0,0.0,0.0,11,0.18181818181818182,4.472727272727273,11,11,11,19,0,5.454545454545454,0.0,0.09090909090909091
3,0,0.9999996666667778,0.17647057785467188,16,0.23529411764705882,6.4941176470588236,17,17,17,26,0,4.705882352941177,0.0,0.17647058823529413
8,1,0.7777776913580343,0.028340080856922748,243,0.3522267206477733,97.34089068825911,247,247,247,487,9,6.153846153846154,0.03643724696356275,0.2631578947368421
0,1,-0.9999990000010001,-0.00970873776981808,99,0.32038834951456313,39.728155339805824,103,103,103,202,4,5.932038834951456,0.038834951456310676,0.24271844660194175
3,0,0.9999996666667778,0.03749999953125001,71,0.2625,28.505000000000003,80,80,80,132,2,5.1875,0.025,0.225
2,0,0.99999950000025,0.07407407133058995,26,0.2962962962962963,10.518518518518519,27,27,27,48,2,5.111111111111111,0.07407407407407407,0.25925925925925924
1,1,0.0,0.0,19,0.2,7.68,20,20,20,36,0,5.3,0.0,0.2
2,0,0.99999950000025,0.06249999804687507,31,0.25,12.5,32,32,32,51,2,4.75,0.0625,0.1875
1,0,0.9999990000010001,0.04347825897920613,22,0.43478260869565216,8.97391304347826,23,23,23,52,0,6.478260869565218,0.0,0.391304347826087
0,0,0.0,0.0,28,0.3870967741935484,11.35483870967742,31,31,31,60,0,5.419354838709677,0.0,0.3870967741935484
3,0,0.9999996666667778,0.13636363016528952,21,0.2727272727272727,8.50909090909091,22,22,22,37,0,5.136363636363637,0.0,0.18181818181818182
0,0,0.0,0.0,22,0.5217391304347826,9.008695652173913,23,23,23,52,0,6.043478260869565,0.0,0.4782608695652174
2,0,0.99999950000025,0.12499999218750048,15,0.25,6.1000000000000005,16,16,16,27,0,4.75,0.0,0.25
0,0,0.0,0.0,21,0.36363636363636365,8.545454545454545,22,22,22,51,0,6.818181818181818,0.0,0.3181818181818182
